Script started on Tue Dec 08 18:39:30 2015
sh-3.00$ m4 a6.m > a6.s
sh-3.00$ gcc a6.s -o a6
sh-3.00$ ./a6 input.bin
x: 8.3000000000           |e^x: 4023.8723938222           |e^-x: 0.0002485168
x: 8.4000000000           |e^x: 4447.0667476998           |e^-x: 0.0002248673
x: 8.5000000000           |e^x: 4914.7688402990           |e^-x: 0.0002034684
x: 8.6000000000           |e^x: 5431.6595913629           |e^-x: 0.0001841058
x: 8.7000000000           |e^x: 6002.9122172609           |e^-x: 0.0001665858
x: 8.8000000000           |e^x: 6634.2440062778           |e^-x: 0.0001507331
x: 8.9000000000           |e^x: 7331.9735391559           |e^-x: 0.0001363889
x: 9.0000000000           |e^x: 8103.0839275752           |e^-x: 0.0001234098
x: 9.1000000000           |e^x: 8955.2927034824           |e^-x: 0.0001116658
x: 9.2000000000           |e^x: 9897.1290587437           |e^-x: 0.0001010394
x: 9.3000000000           |e^x: 10938.0192081650          |e^-x: 0.0000914242
x: 9.4000000000           |e^x: 12088.3807302168          |e^-x: 0.0000827241
x: 9.5000000000           |e^x: 13359.7268296616          |e^-x: 0.0000748518
x: 9.6000000000           |e^x: 14764.7815655770          |e^-x: 0.0000677287
x: 9.7000000000           |e^x: 16317.6071980151          |e^-x: 0.0000612835
x: 9.8000000000           |e^x: 18033.7449278282          |e^-x: 0.0000554516
x: 9.9000000000           |e^x: 19930.3704382299          |e^-x: 0.0000501747
x: 10.0000000000          |e^x: 22026.4657948063          |e^-x: 0.0000453999
sh-3.00$ exit
exit

script done on Tue Dec 08 18:40:04 2015
